"id","window_start","window_end","window_setting","number_of_cores","number_of_threads","latency","throughput","created_at"
120,"1762960200","1762960260","tumbling_1 minutes","4","1","0.113","584.0708","2025-11-12 15:11:00.393182+00"
121,"1762960260","1762960320","tumbling_1 minutes","4","1","0.318","210.69182","2025-11-12 15:12:01.007402+00"
122,"1762960320","1762960380","tumbling_1 minutes","4","1","0.436","151.37614","2025-11-12 15:13:00.62425+00"
123,"1762960380","1762960440","tumbling_1 minutes","4","1","0.377","177.71883","2025-11-12 15:14:00.957351+00"
124,"1762960440","1762960500","tumbling_1 minutes","4","1","0.131","503.8168","2025-11-12 15:15:00.212495+00"
125,"1762960500","1762960560","tumbling_1 minutes","4","1","0.271","247.23247","2025-11-12 15:16:00.750922+00"
126,"1762960560","1762960620","tumbling_1 minutes","4","1","0.148","452.7027","2025-11-12 15:17:01.032301+00"
127,"1762960620","1762960680","tumbling_1 minutes","4","1","0.129","511.6279","2025-11-12 15:18:00.509227+00"
128,"1762960680","1762960740","tumbling_1 minutes","4","1","0.368","182.06522","2025-11-12 15:19:01.143209+00"
129,"1762960740","1762960800","tumbling_1 minutes","4","1","0.196","336.73468","2025-11-12 15:20:00.466172+00"
130,"1762960800","1762960860","tumbling_1 minutes","4","1","0.307","218.24104","2025-11-12 15:21:00.976692+00"
131,"1762960860","1762960920","tumbling_1 minutes","4","1","0.466","141.6309","2025-11-12 15:22:00.65461+00"
132,"1762960920","1762960980","tumbling_1 minutes","4","1","0.276","242.75362","2025-11-12 15:23:00.843306+00"
133,"1762960980","1762961040","tumbling_1 minutes","4","1","0.175","377.14285","2025-11-12 15:24:00.250862+00"
134,"1762961040","1762961100","tumbling_1 minutes","4","1","0.501","133.73253","2025-11-12 15:25:00.984686+00"
135,"1762961100","1762961160","tumbling_1 minutes","4","1","0.189","354.49734","2025-11-12 15:26:01.071242+00"
136,"1762961160","1762961220","tumbling_1 minutes","4","1","0.234","282.05127","2025-11-12 15:27:00.608018+00"
137,"1762961220","1762961280","tumbling_1 minutes","4","1","0.66","101.51515","2025-11-12 15:28:01.430259+00"
138,"1762961280","1762961340","tumbling_1 minutes","4","1","0.562","117.43772","2025-11-12 15:29:00.833616+00"
139,"1762961340","1762961400","tumbling_1 minutes","4","1","0.706","94.90085","2025-11-12 15:30:01.382881+00"
140,"1762961400","1762961460","tumbling_1 minutes","4","1","0.714","92.43697","2025-11-12 15:31:00.88705+00"
141,"1762961460","1762961520","tumbling_1 minutes","4","1","0.368","182.06522","2025-11-12 15:32:00.932407+00"
142,"1762961520","1762961580","tumbling_1 minutes","4","1","0.92","71.73913","2025-11-12 15:33:00.985902+00"
143,"1762961580","1762961640","tumbling_1 minutes","4","1","0.116","577.5862","2025-11-12 15:34:00.580206+00"
144,"1762961640","1762961700","tumbling_1 minutes","4","1","0.323","207.43034","2025-11-12 15:35:01.183145+00"
145,"1762961700","1762961760","tumbling_1 minutes","4","1","0.226","292.0354","2025-11-12 15:36:00.585737+00"
146,"1762961760","1762961820","tumbling_1 minutes","4","1","1.304","51.380367","2025-11-12 15:37:02.072774+00"
147,"1762961820","1762961880","tumbling_1 minutes","4","1","0.289","228.3737","2025-11-12 15:38:00.549392+00"
148,"1762961880","1762961940","tumbling_1 minutes","4","1","0.16","418.75","2025-11-12 15:39:00.823435+00"
149,"1762961940","1762962000","tumbling_1 minutes","4","1","0.236","279.661","2025-11-12 15:40:00.406169+00"
150,"1762962000","1762962060","tumbling_1 minutes","4","1","0.205","326.82925","2025-11-12 15:41:00.766736+00"
151,"1762962060","1762962120","tumbling_1 minutes","4","1","0.516","127.906975","2025-11-12 15:42:00.586023+00"
152,"1762962120","1762962180","tumbling_1 minutes","4","1","1.019","65.75073","2025-11-12 15:43:01.488997+00"
153,"1762962180","1762962240","tumbling_1 minutes","4","1","0.338","198.22485","2025-11-12 15:44:01.2199+00"
154,"1762962240","1762962300","tumbling_1 minutes","4","1","0.155","425.80646","2025-11-12 15:45:00.527283+00"
155,"1762962300","1762962360","tumbling_1 minutes","4","1","0.156","429.48718","2025-11-12 15:46:00.928975+00"
156,"1762962360","1762962420","tumbling_1 minutes","4","1","0.283","233.21555","2025-11-12 15:47:00.559418+00"
157,"1762962420","1762962480","tumbling_1 minutes","4","1","0.375","178.66667","2025-11-12 15:48:01.058648+00"
158,"1762962480","1762962540","tumbling_1 minutes","4","1","0.149","442.95303","2025-11-12 15:49:00.3255+00"
159,"1762962540","1762962600","tumbling_1 minutes","4","1","0.266","251.8797","2025-11-12 15:50:00.84596+00"
160,"1762962600","1762962660","tumbling_1 minutes","4","1","1.597","41.327488","2025-11-12 15:51:01.682958+00"
161,"1762962660","1762962720","tumbling_1 minutes","4","1","1.336","50.1497","2025-11-12 15:52:01.82415+00"
162,"1762962720","1762962780","tumbling_1 minutes","4","1","0.123","544.71545","2025-11-12 15:53:01.01961+00"
163,"1762962780","1762962840","tumbling_1 minutes","4","1","0.184","358.69565","2025-11-12 15:54:00.574085+00"
164,"1762962840","1762962900","tumbling_1 minutes","4","1","0.155","432.25806","2025-11-12 15:55:00.948582+00"
165,"1762962900","1762962960","tumbling_1 minutes","4","1","0.309","213.59224","2025-11-12 15:56:00.59215+00"
166,"1762962960","1762963020","tumbling_1 minutes","4","1","0.983","68.1587","2025-11-12 15:57:01.67485+00"
167,"1762963020","1762963080","tumbling_1 minutes","4","1","0.791","83.43868","2025-11-12 15:58:00.980234+00"
168,"1762963080","1762963140","tumbling_1 minutes","4","1","0.262","255.72519","2025-11-12 15:59:00.852555+00"
169,"1762963140","1762963200","tumbling_1 minutes","4","1","0.545","121.100914","2025-11-12 16:00:00.632039+00"
170,"1762963200","1762963260","tumbling_1 minutes","4","1","0.367","182.56131","2025-11-12 16:01:00.854679+00"
171,"1762963260","1762963320","tumbling_1 minutes","4","1","0.135","496.2963","2025-11-12 16:02:01.035689+00"
172,"1762963320","1762963380","tumbling_1 minutes","4","1","0.236","279.661","2025-11-12 16:03:00.627505+00"
173,"1762963380","1762963440","tumbling_1 minutes","4","1","0.528","126.893936","2025-11-12 16:04:01.310923+00"
174,"1762963440","1762963500","tumbling_1 minutes","4","1","0.142","464.78873","2025-11-12 16:05:00.425646+00"
175,"1762963500","1762963560","tumbling_1 minutes","4","1","0.281","238.43416","2025-11-12 16:06:00.974535+00"
